0,1,2,3,4,5,6
0.33,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:28
0.33,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:29
0.33,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:29
0.33,0.47,0.66,0.93,1.23,1.5,2021-04-07_15:14:29
0.34,0.47,0.67,0.93,1.24,1.51,2021-04-07_15:14:29
0.34,0.47,0.67,0.93,1.24,1.51,2021-04-07_15:14:29
0.34,0.47,0.67,0.93,1.24,1.51,2021-04-07_15:14:29
0.34,0.47,0.67,0.93,1.24,1.51,2021-04-07_15:14:29
0.34,0.48,0.67,0.93,1.24,1.51,2021-04-07_15:14:29
0.34,0.48,0.67,0.94,1.25,1.52,2021-04-07_15:14:29
0.35,0.48,0.68,0.94,1.25,1.52,2021-04-07_15:14:29
0.35,0.48,0.68,0.94,1.25,1.52,2021-04-07_15:14:29
0.35,0.49,0.68,0.94,1.25,1.52,2021-04-07_15:14:29
0.36,0.49,0.69,0.95,1.25,1.52,2021-04-07_15:14:29
0.36,0.49,0.69,0.95,1.26,1.53,2021-04-07_15:14:30
0.37,0.5,0.7,0.96,1.27,1.54,2021-04-07_15:14:30
0.37,0.51,0.71,0.97,1.28,1.55,2021-04-07_15:14:30
0.38,0.52,0.72,0.98,1.3,1.57,2021-04-07_15:14:30
0.4,0.53,0.72,0.98,1.3,1.56,2021-04-07_15:14:30
0.4,0.53,0.73,0.99,1.3,1.57,2021-04-07_15:14:30
0.41,0.55,0.74,1.0,1.31,1.59,2021-04-07_15:14:30
0.43,0.57,0.77,1.03,1.34,1.61,2021-04-07_15:14:30
0.46,0.61,0.82,1.07,1.38,1.65,2021-04-07_15:14:30
0.49,0.64,0.84,1.1,1.4,1.68,2021-04-07_15:14:30
0.52,0.65,0.86,1.13,1.45,1.71,2021-04-07_15:14:30
0.55,0.69,0.89,1.17,1.48,1.76,2021-04-07_15:14:30
0.59,0.72,0.92,1.19,1.52,1.8,2021-04-07_15:14:30
0.64,0.78,0.97,1.24,1.56,1.86,2021-04-07_15:14:31
0.72,0.87,1.08,1.35,1.68,1.98,2021-04-07_15:14:31
0.88,1.02,1.21,1.46,1.78,2.07,2021-04-07_15:14:31
0.93,1.09,1.29,1.57,1.88,2.16,2021-04-07_15:14:31
1.01,1.16,1.36,1.63,1.96,2.24,2021-04-07_15:14:31
1.09,1.24,1.49,1.81,2.15,2.42,2021-04-07_15:14:31
1.26,1.4,1.63,1.96,2.33,2.62,2021-04-07_15:14:31
1.47,1.61,1.82,2.1,2.44,2.73,2021-04-07_15:14:31
1.58,1.73,1.93,2.2,2.56,2.89,2021-04-07_15:14:31
1.75,1.89,2.08,2.35,2.68,2.99,2021-04-07_15:14:31
1.89,2.07,2.27,2.52,2.83,3.12,2021-04-07_15:14:31
1.99,2.16,2.37,2.64,2.95,3.23,2021-04-07_15:14:31
2.08,2.26,2.49,2.78,3.1,3.4,2021-04-07_15:14:31
2.27,2.41,2.65,2.97,3.33,3.61,2021-04-07_15:14:31
2.45,2.6,2.82,3.15,3.52,3.82,2021-04-07_15:14:32
2.68,2.82,3.03,3.32,3.67,3.98,2021-04-07_15:14:32
2.84,3.0,3.2,3.47,3.8,4.12,2021-04-07_15:14:32
2.97,3.14,3.35,3.62,3.96,4.26,2021-04-07_15:14:32
3.16,3.34,3.57,3.84,4.18,4.48,2021-04-07_15:14:32
3.35,3.55,3.78,4.07,4.39,4.67,2021-04-07_15:14:32
3.53,3.74,3.99,4.28,4.61,4.89,2021-04-07_15:14:32
3.76,3.92,4.19,4.5,4.85,5.12,2021-04-07_15:14:32
3.99,4.15,4.36,4.63,4.94,5.12,2021-04-07_15:14:32
4.08,4.21,4.41,4.69,5.01,5.12,2021-04-07_15:14:32
4.13,4.27,4.47,4.74,5.05,5.12,2021-04-07_15:14:32
4.18,4.32,4.52,4.79,5.11,5.12,2021-04-07_15:14:32
4.24,4.38,4.58,4.85,5.12,5.12,2021-04-07_15:14:32
4.28,4.42,4.62,4.89,5.12,5.12,2021-04-07_15:14:33
4.33,4.46,4.67,4.93,5.12,5.12,2021-04-07_15:14:33
4.36,4.5,4.71,4.97,5.12,5.12,2021-04-07_15:14:33
4.41,4.55,4.74,5.01,5.12,5.12,2021-04-07_15:14:33
4.43,4.57,4.77,5.03,5.12,5.12,2021-04-07_15:14:33
4.46,4.59,4.78,5.04,5.12,5.12,2021-04-07_15:14:33
4.46,4.6,4.77,5.03,5.12,5.12,2021-04-07_15:14:33
4.44,4.54,4.72,4.93,5.12,5.12,2021-04-07_15:14:33
4.28,4.41,4.57,4.77,4.99,5.12,2021-04-07_15:14:33
4.08,4.2,4.37,4.6,4.85,5.01,2021-04-07_15:14:33
3.83,3.96,4.15,4.4,4.66,4.89,2021-04-07_15:14:33
3.61,3.71,3.9,4.16,4.44,4.66,2021-04-07_15:14:33
3.44,3.47,3.61,3.87,4.18,4.43,2021-04-07_15:14:33
3.23,3.32,3.44,3.64,3.93,4.21,2021-04-07_15:14:33
3.06,3.18,3.3,3.48,3.76,4.0,2021-04-07_15:14:34
2.84,2.97,3.15,3.38,3.64,3.88,2021-04-07_15:14:34
2.7,2.81,2.98,3.19,3.43,3.58,2021-04-07_15:14:34
2.28,2.36,2.55,2.8,3.09,3.27,2021-04-07_15:14:34
2.0,2.09,2.25,2.51,2.8,3.03,2021-04-07_15:14:34
1.79,1.88,2.03,2.25,2.5,2.7,2021-04-07_15:14:34
1.49,1.53,1.64,1.85,2.14,2.42,2021-04-07_15:14:34
1.24,1.35,1.45,1.62,1.87,2.14,2021-04-07_15:14:34
0.99,1.12,1.3,1.52,1.81,2.08,2021-04-07_15:14:34
0.91,1.03,1.22,1.46,1.73,1.98,2021-04-07_15:14:34
0.77,0.9,1.09,1.34,1.62,1.81,2021-04-07_15:14:34
