0,1,2,3,4,5,6
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:02
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:03
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:04
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:05
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.66,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:06
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:07
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:08
0.32,0.46,0.65,0.92,1.23,1.5,2021-04-07_15:55:09
